name,product_title,product_url,current_price,original_price,currency,rating,is_sponsored
B0DLHLRDBY,Samsung,no product url,199.99,199.99,$,4.2,False
B0FP3XSBYQ,Samsung,no product url,379.99,379.99,$,0.0,False
B0FCMRDNN8,Samsung,no product url,4550.0,4550.0,$,0.0,False
B0DT4T8D65,Samsung,no product url,128.65,128.65,$,4.0,False
B0DVB31XRZ,Samsung,no product url,949.01,949.01,$,4.1,False
B0FG1THCD7,Samsung,no product url,699.0,699.0,$,5.0,False
B0C5B736X3,Samsung Galaxy S23 5G Factory Unlocked 128GB - Phantom Black (Renewed),no product url,272.22,272.22,$,4.1,False
