name,product_title,product_url,current_price,original_price,currency,rating,is_sponsored
B0F5QYTCV2,SAM (Crow MC 2nd Generation),no product url,0.0,13.5,$,4.8,False
B0FLF1JW85,Sam Hunt Guitar Photo T-Shirt,no product url,35.0,35.0,$,0.0,False
B07BNVZDM7,The Extraordinary Life of Sam Hell: A Novel,no product url,0.0,25.0,$,4.6,False
B09WF5T9PJ,Waypoints: My Scottish Journey,no product url,0.0,22.49,$,4.8,False
B009BFZWYE,I Am Sam,no product url,3.99,3.99,$,4.8,False
B082G231QM,Sam,no product url,0.0,0.0,,4.0,False
B0F63M6JXC,"Sam and Indie Series, Books 4-6: Sam and Indie Boxed Set, Book 2",no product url,0.0,29.95,$,4.7,False
B009CFF73O,Sam: A Horror Novel,no product url,0.0,12.2,$,4.2,False
