name,product_title,product_url,current_price,original_price,currency,rating,is_sponsored
B00DSDL4UG,MAC,no product url,23.0,23.0,$,4.6,False
B000LVS7BW,MAC,no product url,38.99,38.99,$,4.4,False
B0CGXS6YBZ,MAC,no product url,28.5,285.0,$,4.5,False
B09WQ36NF1,"Late 2020 Apple MacBook Air with Apple M1 Chip (13.3 inch, 8GB RAM, 128GB SSD) Space Gray (Renewed)",no product url,389.99,389.99,$,4.0,False
B001T9D35U,MAC,no product url,21.61,41.56,$,4.6,False
B0DJRVKSKD,MAC,no product url,25.25,505.0,$,4.2,False
B08PF2RF76,"Apple 2020 Mac Mini with Apple M1 Chip, 8GB RAM, 256GB SSD Storage - Silver (Renewed)",no product url,269.0,269.0,$,4.7,False
B071X5Z88H,MAC,no product url,33.5,64.42,$,4.6,False
