name,product_title,product_url,current_price,original_price,currency,rating,is_sponsored
B086QCGQ8C,"AT&T BL102-3 DECT 6.0 3-Handset Cordless Phone for Home with Answering Machine, Call Blocking, Caller ID Announcer, Audio Assist, Intercom, and Unsurpassed Range, Silver/Black",no product url,87.95,87.95,$,4.2,False
B0DT4T8D65,"SAMSUNG Galaxy A16 4G LTE (128GB + 4GB) International Model SM-A165F/DS Factory Unlocked 6.7"" Dual Sim 50MP Dual Cam (Case Bundle) (Gray)",no product url,128.65,128.65,$,4.0,False
B0FMX5RL7V,"C24 Ultra Unlocked Cell Phone, 5G AI Smartphone with Built-in Pen, Dual SIM 8+256GB Android 13 Phone, 6.8"" HD Screen, 108MP+48MP Camera, 6800mAh Battery, Face ID & Fingerprint",no product url,109.99,109.99,$,0.0,False
B0FG1THCD7,"Samsung Galaxy S25 FE Cell Phone (2025), 256GB AI Smartphone, Unlocked Android, Large Display, 4900mAh Battery, High Res-Camera, AI Photo Edits, Durable, US 1 Yr Warranty, JetBlack",no product url,704.99,704.99,$,4.9,False
B0F9KTNPXY,"KXD A07 Unlock Cell Phone, Android 12 Unlocked Phone, 4500mAh 10W Fast Smartphones, 13MP+8MP, 6.52 Inch HD+, 4GB + 64GB/SD 256GB Mobile Phone, Fingerprint/Face ID, 4G Dual SIM Phone - White",no product url,69.99,69.99,$,3.7,False
B08VLMQ3KS,"Samsung Galaxy S21 5G, US Version, 128GB, Phantom Gray - Unlocked (Renewed)",no product url,162.27,162.27,$,3.9,False
B0BN733951,"Apple iPhone 14, 128GB, Blue - Unlocked (Renewed)",no product url,359.93,359.93,$,4.2,False
B0C1Q3MVBP,"Samsung Galaxy A14 5G A Series, Factory Unlocked, 64GB, US Version, Black (Renewed)",no product url,99.99,99.99,$,3.8,False
B0CTQDMHBH,"VTech Cordless Phone with DECT 6.0, Full-Duplex Speakerphone, Lighted Display, Backlit Keypad, Caller ID/Call Waiting, Volume Control, Hearing Aid Compatible, Wall Mount | VG131-11 (Black)",no product url,23.95,23.95,$,4.3,False
B0BN71X6MF,"Apple iPhone 14, 128GB, Starlight - Unlocked (Renewed)",no product url,362.0,362.0,$,4.0,False
B09V5LDZQ4,"Samsung Galaxy S22 Smartphone, Factory Unlocked Android Cell Phone, 128GB, 8K Camera & Video, Brightest Display, Long Battery Life, Fast 4nm Processor, US Version, Phantom Black (Renewed)",no product url,182.74,182.74,$,3.9,False
B09P147NYF,"VTech VG208 DECT 6.0 Corded/Cordless Phone for Home with Answering Machine, Call Blocking, Caller ID, Large Backlit Display, Duplex Speakerphone, Intercom, Line-Power(Silver/Black)",no product url,69.95,69.95,$,4.2,False
